Run,ReleaseDate,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Model,Sample,Submission,BioSample,Experiment,BioProject,spots,bases,avgLength,size_MB,Prediction,Confidence_Level,Note
SRR12810511,2020-10-13 21:30:43,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507055,SRA1141701,SAMN16420561,SRX9279120,PRJNA668750,3030.0,2447400.0,807.0,2.0,R9-guppy-3or4-FAST,high,
SRR12810512,2020-10-13 21:30:43,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507054,SRA1141701,SAMN16420560,SRX9279119,PRJNA668750,1965.0,2285792.0,1163.0,2.0,R9-guppy-3or4-FAST,high,
SRR12810513,2020-10-18 09:52:22,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507053,SRA1141701,SAMN16420559,SRX9279118,PRJNA668750,41595.0,22348344.0,537.0,20.0,R9-guppy-3or4-FAST,high,
SRR12810514,2020-10-18 09:52:22,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507052,SRA1141701,SAMN16420558,SRX9279117,PRJNA668750,3924.0,2432001.0,619.0,2.0,R9-guppy-3or4-FAST,high,
SRR12810515,2020-10-18 09:52:21,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507051,SRA1141701,SAMN16420557,SRX9279116,PRJNA668750,12946.0,7389745.0,570.0,6.0,R9-guppy-3or4-FAST,high,
SRR12810516,2020-10-18 09:52:21,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507050,SRA1141701,SAMN16420556,SRX9279115,PRJNA668750,5618.0,5226724.0,930.0,4.0,R9-guppy-3or4-FAST,high,
SRR12810517,2020-10-18 09:52:21,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507049,SRA1141701,SAMN16420565,SRX9279114,PRJNA668750,3537.0,3714317.0,1050.0,3.0,R9-guppy-3or4-FAST,high,
SRR12810518,2020-10-18 09:52:21,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507048,SRA1141701,SAMN16420564,SRX9279113,PRJNA668750,16078.0,12018332.0,747.0,10.0,R9-guppy-3or4-FAST,very high,
SRR12810519,2020-10-18 09:52:21,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507047,SRA1141701,SAMN16420555,SRX9279112,PRJNA668750,4451.0,2663711.0,598.0,2.0,R9-guppy-3or4-FAST,high,
SRR12810520,2020-10-18 09:52:21,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS7507046,SRA1141701,SAMN16420554,SRX9279111,PRJNA668750,7837.0,7867894.0,1003.0,7.0,R9-guppy-3or4-FAST,high,
SRR9119490,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228294,SRA890146,SAMN08997589,SRX5893474,PRJNA454059,270823.0,1828063679.0,6750.0,1353.0,R9-guppy-2-NONE,very low,
ERR3988502,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386027,ERA2409679,SAMEA6623886,ERX3990367,PRJEB37264,9526328.0,68663565312.0,7207.0,63209.0,R9-guppy-2-NONE,low,
SRR9119491,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228294,SRA890146,SAMN08997589,SRX5893473,PRJNA454059,213383.0,838685352.0,3930.0,624.0,R9-guppy-2-NONE,very low,
SRR9119486,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228295,SRA890146,SAMN08997588,SRX5893478,PRJNA454059,146979.0,1119758162.0,7618.0,830.0,R9-guppy-2-NONE,very low,
ERR3988508,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386033,ERA2409679,SAMEA6623892,ERX3990373,PRJEB37264,11671996.0,45125014782.0,3866.0,42625.0,R9-guppy-2-NONE,low,
SRR19746232,2022-06-18 19:44:13,WGS,unspecified,GENOMIC,SINGLE,MinION,SRS6415655,SRA1439593,SAMN14521610,SRX15792102,PRJNA622577,976160.0,1434351728.0,1469.0,1275.0,R9-guppy-2-NONE,medium,
SRR9119485,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228295,SRA890146,SAMN08997588,SRX5893479,PRJNA454059,132640.0,972976238.0,7335.0,721.0,R9-guppy-2-NONE,very low,
ERR3988509,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386034,ERA2409679,SAMEA6623893,ERX3990374,PRJEB37264,12434065.0,51340713477.0,4129.0,48460.0,R9-guppy-2-NONE,very low,
ERR3988507,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386032,ERA2409679,SAMEA6623891,ERX3990372,PRJEB37264,11893267.0,61061891467.0,5134.0,57103.0,R9-guppy-2-NONE,very low,
SRR19746233,2022-06-18 22:59:45,WGS,unspecified,GENOMIC,SINGLE,MinION,SRS6415655,SRA1439593,SAMN14521610,SRX15792101,PRJNA622577,1678246.0,2494298678.0,1486.0,2245.0,R9-guppy-2-NONE,high,
ERR2631604,2018-12-14 16:08:39,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2544835,ERA1517533,SAMEA4724698,ERX2648098,PRJEB26791,6241479.0,59134536320.0,9474.0,45873.0,R9-guppy-2-NONE,very low,
ERR3988485,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386010,ERA2409679,SAMEA6623869,ERX3990350,PRJEB37264,8398604.0,59126095515.0,7039.0,53646.0,R9-guppy-2-NONE,low,
ERR3988486,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386011,ERA2409679,SAMEA6623870,ERX3990351,PRJEB37264,8186583.0,62496069657.0,7633.0,57788.0,R9-guppy-2-NONE,low,
ERR2585115,2018-12-14 13:22:15,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2487860,ERA1487587,SAMEA4667243,ERX2601900,PRJEB26791,1688822.0,29041142516.0,17196.0,22624.0,R9-guppy-2-NONE,very low,
ERR2683660,2018-07-07 03:20:30,WGS,RANDOM,GENOMIC,SINGLE,MinION,ERS2597687,ERA1534392,SAMEA4777739,ERX2698274,PRJEB26791,354940.0,4795685899.0,13511.0,3587.0,R9-guppy-2-NONE,very low,
ERR2631603,2018-12-14 16:08:39,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2544835,ERA1517533,SAMEA4724698,ERX2648097,PRJEB26791,1152822.0,19613042451.0,17013.0,15232.0,R9-guppy-2-NONE,very low,
ERR3988495,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386020,ERA2409679,SAMEA6623879,ERX3990360,PRJEB37264,3626223.0,70573580534.0,19462.0,61567.0,R9-guppy-2-NONE,low,
ERR3988480,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386005,ERA2409679,SAMEA6623864,ERX3990345,PRJEB37264,6724033.0,82196263791.0,12224.0,77760.0,R9-guppy-2-NONE,low,
SRR9119492,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228294,SRA890146,SAMN08997589,SRX5893472,PRJNA454059,138191.0,662499516.0,4794.0,499.0,R9-guppy-2-NONE,very low,
ERR2585114,2018-12-14 13:22:15,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2487860,ERA1487587,SAMEA4667243,ERX2601899,PRJEB26791,1688000.0,28528692209.0,16900.0,22350.0,R9-guppy-2-NONE,very low,
ERR3988477,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386002,ERA2409679,SAMEA6623861,ERX3990342,PRJEB37264,9033529.0,87413206810.0,9676.0,83359.0,R9-guppy-2-NONE,very low,
ERR3988492,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386017,ERA2409679,SAMEA6623876,ERX3990357,PRJEB37264,6257840.0,70526462545.0,11270.0,66606.0,R9-guppy-2-NONE,low,
ERR3988487,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386012,ERA2409679,SAMEA6623871,ERX3990352,PRJEB37264,11957366.0,90448674756.0,7564.0,84890.0,R9-guppy-2-NONE,low,
ERR2797013,2018-09-19 08:03:40,WGS,RANDOM,METAGENOMIC,SINGLE,MinION,ERS2739532,ERA1598822,SAMEA4920516,ERX2806032,PRJEB22207,834472.0,1534055783.0,1838.0,1344.0,R9-guppy-2-NONE,low,
ERR2631602,2018-12-14 16:08:39,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2544835,ERA1517533,SAMEA4724698,ERX2648096,PRJEB26791,1350871.0,22182151704.0,16420.0,17333.0,R9-guppy-2-NONE,very low,
ERR3988503,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386028,ERA2409679,SAMEA6623887,ERX3990368,PRJEB37264,9112121.0,77527922090.0,8508.0,72399.0,R9-guppy-2-NONE,very low,
ERR3988488,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386013,ERA2409679,SAMEA6623872,ERX3990353,PRJEB37264,11707673.0,89433609973.0,7638.0,83701.0,R9-guppy-2-NONE,low,
ERR3988504,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386029,ERA2409679,SAMEA6623888,ERX3990369,PRJEB37264,6581154.0,78728115343.0,11962.0,73883.0,R9-guppy-2-NONE,very low,
ERR3988479,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386004,ERA2409679,SAMEA6623863,ERX3990344,PRJEB37264,11118633.0,95177357015.0,8560.0,89051.0,R9-guppy-2-NONE,very low,
SRR9119488,2019-05-27 13:41:49,OTHER,other,GENOMIC,SINGLE,MinION,SRS3228295,SRA890146,SAMN08997588,SRX5893476,PRJNA454059,144569.0,1108254748.0,7665.0,834.0,R9-guppy-2-NONE,very low,
SRR11919529,2020-06-03 18:09:33,WGS,RANDOM,GENOMIC,SINGLE,PromethION,SRS4174283,SRA1082850,SAMN10614994,SRX8465925,PRJNA510783,6465597.0,64552268655.0,9983.0,53384.0,R9-guppy-3or4-HAC,high,
SRR11919530,2020-06-03 18:44:37,WGS,RANDOM,GENOMIC,SINGLE,PromethION,SRS4174283,SRA1082850,SAMN10614994,SRX8465924,PRJNA510783,5951923.0,85674059722.0,14394.0,72429.0,R9-guppy-3or4-HAC,high,
ERR3988478,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386003,ERA2409679,SAMEA6623862,ERX3990343,PRJEB37264,9167172.0,96995874613.0,10580.0,91728.0,R9-guppy-2-NONE,very low,
ERR3988494,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386019,ERA2409679,SAMEA6623878,ERX3990359,PRJEB37264,5204698.0,43264205035.0,8312.0,40801.0,R9-guppy-2-NONE,very low,
ERR3988484,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386009,ERA2409679,SAMEA6623868,ERX3990349,PRJEB37264,8029402.0,70964318204.0,8838.0,67729.0,R9-guppy-2-NONE,very low,
ERR3988490,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386015,ERA2409679,SAMEA6623874,ERX3990355,PRJEB37264,10724744.0,78784550561.0,7346.0,74377.0,R9-guppy-2-NONE,very low,
SRR17096031,2021-12-02 15:17:00,WGS,RANDOM,GENOMIC,SINGLE,MinION,SRS3811869,SRA1337406,SAMN10102574,SRX13283969,PRJNA489865,15079514.0,58079441533.0,3851.0,47537.0,R9-guppy-2-NONE,low,
ERR2631601,2018-12-14 16:08:39,WGS,RANDOM,GENOMIC,SINGLE,PromethION,ERS2544835,ERA1517533,SAMEA4724698,ERX2648095,PRJEB26791,4912304.0,58354898366.0,11879.0,45695.0,R9-guppy-2-NONE,very low,
ERR3988491,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386016,ERA2409679,SAMEA6623875,ERX3990356,PRJEB37264,8419899.0,69585285299.0,8264.0,65980.0,R9-guppy-2-NONE,very low,
SRR13356541,2021-02-16 00:00:29,WGS,RANDOM,GENOMIC,SINGLE,GridION,SRS1185360,SRA1173847,SAMN04229548,SRX9780865,PRJNA686388,101422.0,4865959176.0,47977.0,4099.0,R9-guppy-3or4-HAC,high,
SRR13356542,2021-02-16 00:00:29,WGS,RANDOM,GENOMIC,SINGLE,GridION,SRS1185360,SRA1173847,SAMN04229548,SRX9780864,PRJNA686388,2835347.0,17954270332.0,6332.0,15225.0,R9-guppy-3or4-HAC,high,
ERR3988505,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386030,ERA2409679,SAMEA6623889,ERX3990370,PRJEB37264,3739135.0,39869627962.0,10662.0,37013.0,R9-guppy-2-NONE,very low,
ERR3988483,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386008,ERA2409679,SAMEA6623867,ERX3990348,PRJEB37264,2900987.0,26443022791.0,9115.0,25013.0,R9-guppy-2-NONE,very low,
SRR21540818,2023-04-21 10:47:51,WGS,unspecified,GENOMIC,SINGLE,GridION,SRS15090267,SRA1496435,SAMN30818525,SRX17543022,PRJNA879930,10368954.0,89846845556.0,8664.0,73286.0,R9-guppy-2-NONE,high,
ERR3988482,2020-04-01 21:09:52,WGS,unspecified,GENOMIC,SINGLE,PromethION,ERS4386007,ERA2409679,SAMEA6623866,ERX3990347,PRJEB37264,8157783.0,83787051659.0,10270.0,80237.0,R9-guppy-2-NONE,very low,
SRR10260279,2019-10-31 00:31:02,AMPLICON,PCR,GENOMIC,SINGLE,MinION,SRS5503212,SRA977721,SAMN13016791,SRX6978152,PRJNA577013,1079172.0,2636318465.0,2442.0,2163.0,R9-guppy-2-NONE,low,
SRR11589390,2022-05-13 11:33:22,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,20319368.0,64890226029.0,3193.0,54594.0,R9-guppy-3or4-HAC,high,
SRR11589393,2022-05-13 11:33:22,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,879576.0,5294868004.0,6019.0,4619.0,R9-guppy-3or4-HAC,high,
SRR11589395,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,20048752.0,47096079592.0,2349.0,39845.0,R9-guppy-3or4-HAC,medium,
SRR11589396,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,1040656.0,6252070573.0,6007.0,5445.0,R9-guppy-3or4-HAC,high,
SRR11589397,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,5975463.0,19740255731.0,3303.0,17190.0,R9-guppy-3or4-HAC,high,
SRR11589398,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,6224907.0,16988879587.0,2729.0,14845.0,R9-guppy-3or4-HAC,high,
SRR11589400,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,12748000.0,24686990928.0,1936.0,20832.0,R9-guppy-3or4-HAC,high,
SRR11589401,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,21160104.0,68032029472.0,3215.0,57375.0,R9-guppy-3or4-HAC,medium,
SRR11589403,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,3174998.0,11210309931.0,3530.0,9773.0,R9-guppy-3or4-HAC,high,
SRR11589405,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,5933664.0,15150232280.0,2553.0,13240.0,R9-guppy-3or4-HAC,high,
SRR11589407,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,904642.0,3212028943.0,3550.0,2802.0,R9-guppy-3or4-HAC,high,
SRR11589408,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518783,SRA1067993,SAMN14669699,SRX8156771,PRJNA627432,656148.0,3232258661.0,4926.0,2817.0,R9-guppy-3or4-HAC,high,
SRR11589410,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518784,SRA1067993,SAMN14669702,SRX8156772,PRJNA627432,1854744.0,7611317553.0,4103.0,6515.0,R9-guppy-3or4-HAC,high,
SRR11589411,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518784,SRA1067993,SAMN14669702,SRX8156772,PRJNA627432,9759012.0,38863799479.0,3982.0,32402.0,R9-guppy-3or4-HAC,high,
SRR11589412,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518784,SRA1067993,SAMN14669702,SRX8156772,PRJNA627432,5863634.0,18575638766.0,3167.0,15883.0,R9-guppy-3or4-HAC,high,
SRR11589413,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,MinION,SRS6518784,SRA1067993,SAMN14669702,SRX8156772,PRJNA627432,24842981.0,79145062516.0,3185.0,66753.0,R9-guppy-3or4-HAC,high,
SRR11589415,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,PromethION,SRS6518785,SRA1067993,SAMN14669701,SRX8156773,PRJNA627432,6737540.0,9374884744.0,1391.0,7999.0,R9-guppy-3or4-HAC,high,
SRR11589416,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,PromethION,SRS6518785,SRA1067993,SAMN14669701,SRX8156773,PRJNA627432,3777824.0,14110777690.0,3735.0,12111.0,R9-guppy-3or4-HAC,high,
SRR11589417,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,PromethION,SRS6518785,SRA1067993,SAMN14669701,SRX8156773,PRJNA627432,7432226.0,28393376544.0,3820.0,23796.0,R9-guppy-3or4-HAC,high,
SRR11589418,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,PromethION,SRS6518785,SRA1067993,SAMN14669701,SRX8156773,PRJNA627432,19732673.0,47664163641.0,2415.0,40032.0,R9-guppy-3or4-HAC,high,
SRR11589419,2022-05-13 11:33:23,OTHER,other,GENOMIC,SINGLE,PromethION,SRS6518785,SRA1067993,SAMN14669701,SRX8156773,PRJNA627432,7118556.0,16970376655.0,2383.0,14447.0,R9-guppy-3or4-HAC,high,
SRR15058164,2021-07-07 07:48:49,WGS,other,GENOMIC,SINGLE,PromethION,SRS9414678,SRA1255629,SAMN20087527,SRX11368475,PRJNA744329,500000.0,5044547199.0,10089.0,4365.0,R9-guppy-3or4-HAC,high,
SRR15058165,2021-07-07 12:03:08,WGS,other,GENOMIC,SINGLE,PromethION,SRS9414678,SRA1255629,SAMN20087527,SRX11368474,PRJNA744329,9083052.0,93365566398.0,10279.0,68654.0,R9-guppy-3or4-HAC,high,
SRR15058166,2021-07-08 15:50:42,WGS,other,GENOMIC,SINGLE,PromethION,SRS9414678,SRA1255629,SAMN20087527,SRX11368473,PRJNA744329,9083052.0,93365566398.0,10279.0,80322.0,R9-guppy-3or4-HAC,high,
SRR15058167,2021-07-07 08:59:01,WGS,other,GENOMIC,SINGLE,PromethION,SRS9414678,SRA1255629,SAMN20087527,SRX11368472,PRJNA744329,9083052.0,93365566398.0,10279.0,80284.0,R9-guppy-3or4-HAC,high,
SRR15096704,2021-07-11 05:39:50,Targeted-Capture,other,GENOMIC,SINGLE,MinION,SRS9450256,SRA1257391,SAMN20165448,SRX11406563,PRJNA745386,219.0,3544007.0,16182.0,3.0,R9-guppy-3or4-HAC,medium,
SRR15096705,2021-07-11 05:39:50,Targeted-Capture,other,GENOMIC,SINGLE,MinION,SRS9450256,SRA1257391,SAMN20165448,SRX11406562,PRJNA745386,110.0,2655410.0,24140.0,2.0,R9-guppy-3or4-HAC,high,
SRR15096706,2021-07-11 05:37:34,Targeted-Capture,other,GENOMIC,SINGLE,MinION,SRS9450254,SRA1257391,SAMN20165447,SRX11406561,PRJNA745386,4817.0,44509895.0,9240.0,37.0,R9-guppy-3or4-HAC,high,
SRR15096708,2021-07-11 05:39:50,Targeted-Capture,other,GENOMIC,SINGLE,MinION,SRS9450255,SRA1257391,SAMN20165450,SRX11406559,PRJNA745386,12155.0,153719689.0,12646.0,131.0,R9-guppy-3or4-HAC,medium,
SRR15096709,2021-07-11 05:37:34,Targeted-Capture,other,GENOMIC,SINGLE,MinION,SRS9450253,SRA1257391,SAMN20165454,SRX11406558,PRJNA745386,2187.0,52325586.0,23925.0,44.0,R9-guppy-3or4-HAC,high,
SRR15130017,2022-02-24 03:46:31,Targeted-Capture,MDA,GENOMIC,SINGLE,MinION,SRS9481461,SRA1258938,SAMN20169047,SRX11438666,PRJNA745542,51749.0,248273521.0,4797.0,213.0,R9-guppy-3or4-HAC,medium,
SRR15130021,2022-02-24 03:46:31,Targeted-Capture,MDA,GENOMIC,SINGLE,MinION,SRS9481460,SRA1258938,SAMN20169046,SRX11438662,PRJNA745542,2.0,973.0,486.0,0.0,R9-guppy-3or4-HAC,medium,
SRR15130025,2022-02-24 03:46:32,Targeted-Capture,MDA,GENOMIC,SINGLE,MinION,SRS9481463,SRA1258938,SAMN20169049,SRX11438658,PRJNA745542,94262.0,659203647.0,6993.0,571.0,R9-guppy-3or4-HAC,medium,
SRR15130028,2022-02-24 03:46:32,Targeted-Capture,MDA,GENOMIC,SINGLE,MinION,SRS9481462,SRA1258938,SAMN20169048,SRX11438655,PRJNA745542,599928.0,1831918442.0,3053.0,1590.0,R9-guppy-3or4-HAC,high,
SRR15130029,2022-02-24 03:46:32,Targeted-Capture,MDA,GENOMIC,SINGLE,MinION,SRS9481462,SRA1258938,SAMN20169048,SRX11438654,PRJNA745542,137431.0,466087656.0,3391.0,405.0,R9-guppy-3or4-HAC,medium,
SRR15130032,2022-02-24 03:46:32,Targeted-Capture,MDA,GENOMIC,SINGLE,MinION,SRS9481461,SRA1258938,SAMN20169047,SRX11438651,PRJNA745542,213807.0,772407271.0,3612.0,669.0,R9-guppy-3or4-HAC,high,
SRR18173259,2022-05-13 11:33:22,OTHER,other,GENOMIC,SINGLE,PromethION,SRS12136344,SRA1067993,SAMN26315986,SRX14320238,PRJNA627432,15009594.0,83812481578.0,5583.0,71844.0,R9-guppy-3or4-HAC,high,
SRR18173260,2022-05-13 11:33:22,OTHER,other,GENOMIC,SINGLE,PromethION,SRS12136345,SRA1067993,SAMN26315987,SRX14320239,PRJNA627432,23449557.0,95256768483.0,4062.0,82533.0,R9-guppy-3or4-HAC,high,
SRR18173261,2022-05-13 11:33:22,OTHER,other,GENOMIC,SINGLE,PromethION,SRS12136345,SRA1067993,SAMN26315987,SRX14320239,PRJNA627432,19758431.0,88669016809.0,4487.0,76306.0,R9-guppy-3or4-HAC,high,
SRR16355986,2022-01-16 11:25:13,OTHER,other,GENOMIC,SINGLE,MinION,SRS10586849,SRA1311819,SAMN22328908,SRX12633466,PRJNA771681,49161.0,160015204.0,3254.0,128.0,R9-guppy-5or6-SUP,high,
SRR16355987,2022-01-16 11:25:13,OTHER,other,GENOMIC,SINGLE,MinION,SRS10586850,SRA1311819,SAMN22328909,SRX12633467,PRJNA771681,9163.0,62607624.0,6832.0,50.0,R9-guppy-5or6-SUP,high,
SRR16355988,2022-01-16 11:25:13,OTHER,other,GENOMIC,SINGLE,MinION,SRS10586851,SRA1311819,SAMN22328910,SRX12633468,PRJNA771681,24859.0,178049661.0,7162.0,142.0,R9-guppy-5or6-SUP,high,
SRR16355989,2022-01-16 11:25:12,OTHER,other,GENOMIC,SINGLE,MinION,SRS10586799,SRA1311819,SAMN22328911,SRX12633416,PRJNA771681,174442.0,567966952.0,3255.0,458.0,R9-guppy-5or6-SUP,high,
SRR16355990,2022-01-16 11:25:12,OTHER,other,GENOMIC,SINGLE,MinION,SRS10586800,SRA1311819,SAMN22328912,SRX12633417,PRJNA771681,164220.0,1015277799.0,6182.0,815.0,R9-guppy-5or6-SUP,high,
SRR19146046,2023-01-20 07:36:30,OTHER,other,GENOMIC,SINGLE,PromethION,SRS12950405,SRA1417230,SAMN28161069,SRX15212800,PRJNA836538,23813201.0,74158068257.0,3114.0,64561.0,R9-guppy-3or4-HAC,medium,
SRR19146047,2023-01-20 07:36:30,OTHER,other,GENOMIC,SINGLE,PromethION,SRS12950404,SRA1417230,SAMN28161070,SRX15212799,PRJNA836538,17230526.0,76347520999.0,4430.0,65819.0,R9-guppy-3or4-HAC,medium,
